;function;descriptions_backup
43;match;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
44;num_ran;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
45;one_;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
46;starts_wi;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
47;last_c;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
48;any_;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
49;all_;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
50;interse;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
51;uni;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
52;setdi;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
53;setequ;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
54;%;These objects are imported from other packages. Follow the links below to see their documentation. generics intersect, setdiff, setequal, union magrittr %>% tibble add_row, as_data_frame, as_tibble, data_frame, data_frame_, frame_data, lst, lst_, tbl_sum, tibble, tribble, type_sum, view tidyselect all_of, any_of, contains, ends_with, everything, last_col, matches, num_range, one_of, starts_with
55;union_all;These functions override the set functions provided in base to make them generic so that efficient versions for data frames and other tables can be provided. The default methods call the base versions. Beware that intersect(), union() and setdiff() remove duplicates.
56;inner_join;The mutating joins add columns from y to x, matching rows based on the keys:inner_join(): includes all rows in x and y. left_join(): includes all rows in x. right_join(): includes all rows in y. full_join(): includes all rows in x or y. If a row in x matches multiple rows in y, all the rows in y will be returned once for each matching row in x.
57;left_join;The mutating joins add columns from y to x, matching rows based on the keys:inner_join(): includes all rows in x and y. left_join(): includes all rows in x. right_join(): includes all rows in y. full_join(): includes all rows in x or y. If a row in x matches multiple rows in y, all the rows in y will be returned once for each matching row in x.
58;right_join;The mutating joins add columns from y to x, matching rows based on the keys:inner_join(): includes all rows in x and y. left_join(): includes all rows in x. right_join(): includes all rows in y. full_join(): includes all rows in x or y. If a row in x matches multiple rows in y, all the rows in y will be returned once for each matching row in x.
59;full_join;The mutating joins add columns from y to x, matching rows based on the keys:inner_join(): includes all rows in x and y. left_join(): includes all rows in x. right_join(): includes all rows in y. full_join(): includes all rows in x or y. If a row in x matches multiple rows in y, all the rows in y will be returned once for each matching row in x.
60;nest_join;nest_join() returns all rows and columns in x with a new nested-df column that contains all matches from y. When there is no match, the list column is a 0-row tibble.
61;semi_join;Filtering joins filter rows from x based on the presence or absence of matches in y:semi_join() return all rows from x with a match in y. anti_join() return all rows from x without a match in y.
62;anti_join;Filtering joins filter rows from x based on the presence or absence of matches in y:semi_join() return all rows from x with a match in y. anti_join() return all rows from x without a match in y.
63;group_by;"Most data operations are done on groups defined by variables. group_by() takes an existing tbl and converts it into a grouped tbl where operations are performed ""by group"". ungroup() removes grouping."
64;ungroup;"Most data operations are done on groups defined by variables. group_by() takes an existing tbl and converts it into a grouped tbl where operations are performed ""by group"". ungroup() removes grouping."
65;group_cols;This selection helpers matches grouping variables. It can be used in select() or vars() selections.
66;rowwise;rowwise() allows you to compute on a data frame a row-at-a-time. This is most useful when a vectorised function doesn't exist. Most dplyr verbs preserve row-wise grouping. The exception is summarise(), which return a grouped_df. You can explicitly ungroup with ungroup() or as_tibble(), or convert to a grouped_df with group_by().
67;across;"across() makes it easy to apply the same transformation to multiple columns, allowing you to use select() semantics inside in ""data-masking"" functions like summarise() and mutate(). See vignette(""colwise"") for more details. if_any() and if_all() apply the same predicate function to a selection of columns and combine the results into a single logical vector: if_any() is TRUE when the predicate is TRUE for any of the selected columns, if_all() is TRUE when the predicate is TRUE for all selected columns. across() supersedes the family of ""scoped variants"" like summarise_at(), summarise_if(), and summarise_all()."
68;if_any;"across() makes it easy to apply the same transformation to multiple columns, allowing you to use select() semantics inside in ""data-masking"" functions like summarise() and mutate(). See vignette(""colwise"") for more details. if_any() and if_all() apply the same predicate function to a selection of columns and combine the results into a single logical vector: if_any() is TRUE when the predicate is TRUE for any of the selected columns, if_all() is TRUE when the predicate is TRUE for all selected columns. across() supersedes the family of ""scoped variants"" like summarise_at(), summarise_if(), and summarise_all()."
69;if_all;"across() makes it easy to apply the same transformation to multiple columns, allowing you to use select() semantics inside in ""data-masking"" functions like summarise() and mutate(). See vignette(""colwise"") for more details. if_any() and if_all() apply the same predicate function to a selection of columns and combine the results into a single logical vector: if_any() is TRUE when the predicate is TRUE for any of the selected columns, if_all() is TRUE when the predicate is TRUE for all selected columns. across() supersedes the family of ""scoped variants"" like summarise_at(), summarise_if(), and summarise_all()."
70;c_across;"c_across() is designed to work with rowwise() to make it easy to perform row-wise aggregations. It has two differences from c():It uses tidy select semantics so you can easily select multiple variables. See vignette(""rowwise"") for more details. It uses vctrs::vec_c() in order to give safer outputs."
71;between;This is a shortcut for x >= left & x <= right, implemented efficiently in C++ for local values, and translated to the appropriate SQL for remote tables.
72;case_when;This function allows you to vectorise multiple if_else() statements. It is an R equivalent of the SQL CASE WHEN statement. If no cases match, NA is returned.
73;coalesce;Given a set of vectors, coalesce() finds the first non-missing value at each position. This is inspired by the SQL COALESCE function which does the same thing for NULLs.
74;cumall;dplyr provides cumall(), cumany(), and cummean() to complete R's set of cumulative functions.
75;cumany;dplyr provides cumall(), cumany(), and cummean() to complete R's set of cumulative functions.
76;cummean;dplyr provides cumall(), cumany(), and cummean() to complete R's set of cumulative functions.
77;desc;Transform a vector into a format that will be sorted in descending order. This is useful within arrange().
78;if_else;Compared to the base ifelse(), this function is more strict. It checks that true and false are the same type. This strictness makes the output type more predictable, and makes it somewhat faster.
79;lag;"Find the ""previous"" (lag()) or ""next"" (lead()) values in a vector. Useful for comparing values behind of or ahead of the current values."
80;lead;"Find the ""previous"" (lag()) or ""next"" (lead()) values in a vector. Useful for comparing values behind of or ahead of the current values."
81;order_by;This function makes it possible to control the ordering of window functions in R that don't have a specific ordering parameter. When translated to SQL it will modify the order clause of the OVER function.
82;n;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
83;cur_data;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
84;cur_data_all;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
85;cur_group;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
86;cur_group_id;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
87;cur_group_rows;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
88;cur_column;"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like summarise() and mutate()n() gives the current group size. cur_data() gives the current data for the current group (excluding grouping variables). cur_data_all() gives the current data for the current group (including grouping variables) cur_group() gives the group keys, a tibble with one row and one column for each grouping variable. cur_group_id() gives a unique numeric identifier for the current group. cur_group_rows() gives the row indices for the current group. cur_column() gives the name of the current column (in across() only). See group_data() for equivalent functions that return values for all groups."
89;n_distinct;This is a faster and more concise equivalent of length(unique(x))
90;na_if;This is a translation of the SQL command NULLIF. It is useful if you want to convert an annoying value to NA.
91;near;This is a safe way of comparing if two vectors of floating point numbers are (pairwise) equal.  This is safer than using ==, because it has a built in tolerance
92;nth;These are straightforward wrappers around [[. The main advantage is that you can provide an optional secondary vector that defines the ordering, and provide a default value to use when the input is shorter than expected.
93;first;These are straightforward wrappers around [[. The main advantage is that you can provide an optional secondary vector that defines the ordering, and provide a default value to use when the input is shorter than expected.
94;last;These are straightforward wrappers around [[. The main advantage is that you can provide an optional secondary vector that defines the ordering, and provide a default value to use when the input is shorter than expected.
95;row_number;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
96;ntile;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
97;min_rank;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
98;dense_rank;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
99;percent_rank;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
100;cume_dist;Six variations on ranking functions, mimicking the ranking functions described in SQL2003. They are currently implemented using the built in rank function, and are provided mainly as a convenience when converting between R and SQL. All ranking functions map smallest inputs to smallest outputs. Use desc() to reverse the direction.
101;recode;"This is a vectorised version of switch(): you can replace numeric values based on their position or their name, and character or factor values only by their name. This is an S3 generic: dplyr provides methods for numeric, character, and factors. For logical vectors, use if_else(). For more complicated criteria, use case_when(). You can use recode() directly with factors; it will preserve the existing order of levels while changing the values. Alternatively, you can use recode_factor(), which will change the order of levels to match the order of replacements. See the forcats package for more tools for working with factors and their levels. recode() is questioning because the arguments are in the wrong order. We have new <- old, mutate(df, new = old), and rename(df, new = old) but recode(x, old = new). We don't yet know how to fix this problem, but it's likely to involve creating a new function then retiring or deprecating recode()."
102;recode_factor;"This is a vectorised version of switch(): you can replace numeric values based on their position or their name, and character or factor values only by their name. This is an S3 generic: dplyr provides methods for numeric, character, and factors. For logical vectors, use if_else(). For more complicated criteria, use case_when(). You can use recode() directly with factors; it will preserve the existing order of levels while changing the values. Alternatively, you can use recode_factor(), which will change the order of levels to match the order of replacements. See the forcats package for more tools for working with factors and their levels. recode() is questioning because the arguments are in the wrong order. We have new <- old, mutate(df, new = old), and rename(df, new = old) but recode(x, old = new). We don't yet know how to fix this problem, but it's likely to involve creating a new function then retiring or deprecating recode()."
103;band_membe;These data sets describe band members of the Beatles and Rolling Stones. They are toy data sets that can be displayed in their entirety on a slide (e.g. to demonstrate a join).
104;band_instrumen;These data sets describe band members of the Beatles and Rolling Stones. They are toy data sets that can be displayed in their entirety on a slide (e.g. to demonstrate a join).
105;band_instrument;These data sets describe band members of the Beatles and Rolling Stones. They are toy data sets that can be displayed in their entirety on a slide (e.g. to demonstrate a join).
106;starwa;The original data, from SWAPI, the Star Wars API, https://swapi.dev/, has been revised to reflect additional research into gender and sex determinations of characters.
